"title" "year" "length" "budget"
"Hang 'Em High" 1968 114 1800000
"Hangin' with the Homeboys" 1991 88 1900000
"Hanging Tree, The" 1959 106 1350000
"Hanging Up" 2000 94 40000000
"Hangman's Curse" 2003 106 2000000
"Hank Williams First Nation" 2005 92 300000
"Hannah and Her Sisters" 1986 106 6400000
"Hannibal" 2001 133 87000000
"Hans Christian Andersen" 1952 112 4000000
"Happiness" 1998 134 3000000
"Happy Birthday to Me" 1981 110 2250000
"Happy Gilmore" 1996 92 10000000
"Happy Road, The" 1957 99 500000
"Happy, Texas" 1999 98 1700000
"Hard Ball" 2001 109 21000000
"Hard Day's Night, A" 1964 87 560000
"Hard Feelings" 1982 105 4000000
"Hard Hombre" 1931 65 60000
"Hard Rain" 1998 97 70000000
"Hard Target" 1993 73 15000000
"Hard to Handle" 1933 78 189000
"Hardware" 1990 93 1500000
"Hardware Wars" 1977 13 8000
"Harold & Kumar Go to White Castle" 2004 90 9000000
"Harold and Maude" 1971 91 1200000
"Harper" 1966 121 3500000
"Harpist, The" 1997 93 3000000
"Harriet the Spy" 1996 100 13000000
"Harrison Macauley Is Going to Kill Me" 2003 68 50000
"Harry Potter and the Chamber of Secrets" 2002 152 100000000
"Harry Potter and the Prisoner of Azkaban" 2004 141 130000000
"Harry Potter and the Sorcerer's Stone" 2001 152 130000000
"Hart's War" 2002 125 70000000
"Harvard Man" 2001 99 5500000
"Harvest of Fear" 2004 95 100000
"Harvey Girls, The" 1946 102 2524315
"Hatred of a Minute" 2002 83 300000
"Haunted Mansion, The" 2003 87 90000000
"Haunting Fear" 1991 88 115000
"Haunting, The" 1963 112 1400000
"Haunting, The" 1999 112 80000000
"Hav Plenty" 1997 84 650000
"Have Rocket, Will Travel" 1959 76 380000
"Hawaii" 1966 189 15000000
"He Got Game" 1998 137 25000000
"Head" 1968 110 750000
"Head Over Heels" 2001 86 14000000
"Heads or Tails" 2005 100 17000
"Heart of America" 2003 87 3000000
"Heart of Me, The" 2002 96 7000000
"Heart of the North" 1938 83 400000
"Heartbeeps" 1981 79 10000000
"Heartbreakers" 2001 110 40000000
"Hearts in Atlantis" 2001 101 31000000
"Hearts of Fire" 1987 95 17000000
"Heat" 1995 188 60000000
"Heat and Sunlight" 1987 98 90000
"Heaven" 2002 96 11000000
"Heaven & Earth" 1993 140 33000000
"Heaven Knows, Mr. Allison" 1957 108 3000000
"Heaven's Gate" 1980 219 44000000
"Heaven's Prisoners" 1996 132 25000000
"Heavenly Bodies!" 1963 62 5000
"Heavenly Creatures" 1994 108 5000000
"Heavy Metal" 1981 90 9300000
"Heavy Metal 2000" 2000 88 15000000
"Hedwig and the Angry Inch" 2001 93 6000000
"Heiress, The" 1949 115 2600000
"Held Up" 1999 89 8000000
"Held for Ransom" 2000 91 5000000
"Helix... Loaded, The" 2005 97 1000000
"Hell Is for Heroes" 1962 90 2500000
"Hell to Eternity" 1960 131 800000
"Hell's Angels" 1930 127 3950000
"Hell's Bloody Devils" 1970 92 150000
"Hell's Kitchen" 1998 95 6000000
"Hellboy" 2004 132 66000000
"Hello, Dolly!" 1969 146 25000000
"Hello, Everybody!" 1933 69 2000000
"Hellraiser" 1987 89 1000000
"Hellraiser: Bloodline" 1996 86 4000000
"Help!" 1965 90 1500000
"Hempsters: Plant the Seed" 2003 90 250000
"Henry V" 1989 137 9000000
"Henry: Portrait of a Serial Killer" 1986 78 111000
"Her Knight" 2003 29 16878
"Her Urge" 2000 15 20000
"Hercules" 1997 92 70000000
"Here Comes the Groom" 1951 113 2117000
"Here on Earth" 2000 93 15000000
"Hero" 1992 117 42000000
"Heroes for Sale" 1933 71 290000
"Hey Arnold! The Movie" 2002 76 10000000
"Hidalgo" 2004 136 78000000
"Hidden Agenda" 2001 98 5000000
"Hidden Assassin" 1995 89 11000000
"Hide and Creep" 2004 85 20000
"Hide and Seek" 2005 101 30000000
"Hideaway" 1995 106 15000000
"Hideous Kinky" 1998 98 12000000
"Hideous Sun Demon, The" 1959 74 58500
"High Anxiety" 1977 94 3400000
"High Crimes" 2002 115 42000000
"High Fidelity" 2000 113 20000000
"High Noon" 1952 85 750000
"High Sierra" 1941 100 455000
"High Strung" 1991 93 300000
"High, Wide, and Handsome" 1937 110 1900000
"High-Ballin'" 1978 97 2000000
"Highlander" 1986 116 16000000
"Highlander II: The Quickening" 1991 92 30000000
"Highlander III: The Sorcerer" 1994 102 26000000
"Highlander: Endgame" 2000 101 15000000
"Highway to Hell" 1992 94 9000000
"Hijo genial, Un" 2003 90 1000000
"Hikikomori: Tokyo Plastic" 2004 75 1150000
"Hills Have Eyes Part II, The" 1985 86 1000000
"Hills Have Eyes, The" 1977 86 230000
"Hillz, The" 2004 91 100000
"HipHopBattle.com: Hip Hop 4 Life" 2001 98 12000
"His Majesty O'Keefe" 1954 91 1550000
"His People" 1925 93 93000
"His/Herstory" 2003 20 33000
"History of the World: Part I" 1981 97 11000000
"Hit List" 1989 87 1500000
"Hit and Runway" 1999 108 1200000
"Hitch" 2005 118 70000000
"Hitcher, The" 1986 97 6000000
"Hitchhiker's Guide to the Galaxy, The" 2005 110 50000000
"Hitler's Children" 1943 82 75000
"Hitman, The" 2002 6 1000
"Hocus Pocus" 1993 96 28000000
"Hold That Ghost" 1941 86 190000
"Hold Your Man" 1933 87 260000
"Holes" 2003 117 30000000
"Holiday Inn" 1942 100 3200000
"Hollow Man" 2000 112 95000000
"Hollywood Boulevard" 1976 83 60000
"Hollywood Cavalcade" 1939 97 2000000
"Hollywood Chainsaw Hookers" 1988 75 23000
"Hollywood Ending" 2002 112 16000000
"Hollywood Harry" 1986 96 120000
"Hollywood Homicide" 2003 116 75000000
"Hollywood North" 2003 89 7000000
"Hollywood Shuffle" 1987 78 100000
"Hollywood Sign, The" 2001 90 12000000
"Hollywood's World of Flesh" 1963 72 14000
"Holy Man" 1998 114 60000000
"Holy Mountain, The" 1973 114 750000
"Home Alone" 1990 103 15000000
"Home Fries" 1998 91 15000000
"Home Movies" 1979 90 400000
"Home at the End of the World, A" 2004 96 6500000
"Home of Our Own, A" 1993 104 12000000
"Home on the Range" 2004 76 110000000
"Homeless in America" 2004 30 500000
"Hometown Legend" 2002 108 2000000
"Honey" 2003 94 17000000
"Honey Pot, The" 1967 132 6000000
"Honeymoon Horror" 1982 88 50000
"Hong faan kui" 1996 91 7500000
"Honky Tonk Freeway" 1981 107 24000000
"Honorable, The" 2002 88 50000
"Hook" 1991 144 70000000
"Hoop Dreams" 1994 170 700000
"Hop-Along Cassidy" 1935 60 85000
"Hope Floats" 1998 114 30000000
"Hope and Play" 2004 101 10500
"Hopscotch" 2004 7 1000
"Horror of Party Beach, The" 1964 78 120000
"Horse Whisperer, The" 1998 170 60000000
"Horsemen, The" 1971 109 6000000
"Hostage" 2005 113 52000000
"Hot Java" 2004 12 15000
"Hot Touch, The" 1982 93 4700000
"Hot Wax Zombies On Wheels" 1999 88 160000
"Hotel New Hampshire, The" 1984 109 7500000
"Hour of the Gun" 1967 100 1800000
"Hours, The" 2002 114 25000000
"House" 1986 93 3000000
"House of 1000 Corpses" 2003 88 7000000
"House of Dark Shadows" 1970 102 750000
"House of Mirth, The" 2000 140 10000000
"House of Sand and Fog" 2003 126 16000000
"House of Usher" 1960 79 270000
"House of Wax" 1953 90 658000
"House of Wax" 2005 105 30000000
"House of Yes, The" 1997 85 1500000
"House of the Dead" 2003 90 7000000
"House of the Long Shadows" 1983 100 7500000
"House of the Spirits, The" 1993 146 40000000
"House on Haunted Hill" 1959 75 200000
"House on Haunted Hill" 1999 99 19000000
"House on Sorority Row, The" 1983 91 425000
"House on Turk Street, The" 2002 103 12000000
"How Green Was My Valley" 1941 118 1250000
"How Harry Became a Tree" 2001 99 6000000
"How High" 2001 95 12000000
"How I Saved the World" 2001 18 40000
"How Stella Got Her Groove Back" 1998 124 20000000
"How the Grinch Stole Christmas" 2000 104 123000000
"How the West Was Won" 1962 162 14000000
"How to Deal" 2003 102 16000000
"How to Kill Your Neighbor's Dog" 2000 107 7300000
"How to Live with a Vegan Without Killing Them" 2004 84 330000
"How to Lose a Guy in 10 Days" 2003 116 50000000
"How to Steal a Million" 1966 123 6000000
"Howard the Duck" 1986 110 30000000
"Howling, The" 1981 91 1000000
"Hsi yen" 1993 106 1000000
"Hucksters, The" 1947 115 2300000
"Hud" 1963 112 2500000
"Hudson Hawk" 1991 103 65000000
"Hudsucker Proxy, The" 1994 111 25000000
"Hukkle" 2002 75 100000
"Hulk" 2003 138 120000000
"Hummingbird" 2004 48 50000
"Hunchback of Notre Dame, The" 1923 98 1250000
"Hunchback of Notre Dame, The" 1996 91 70000000
"Hungry Wives" 1973 89 120000
"Hunt for Red October, The" 1990 134 30000000
"Hunter, The" 1980 97 8000000
"Hunting Camp" 2005 38 4000
"Hunting for Herschell" 2003 90 30000
"Hurricane" 1997 91 500000
"Hurricane, The" 1937 103 2000000
"Hurricane, The" 1999 145 38000000
"Husbands" 1970 131 1000000
"Husbands and Wives" 1992 108 20000000
"Hush... Hush, Sweet Charlotte" 1964 133 1900000
"Husk" 2005 27 7500
"Hustlas" 2002 90 1000000
"Hustler, The" 1961 134 2000000
"Hypnotic Eye, The" 1960 79 365000
"I Am Josh Polonski's Brother" 2001 87 80000
"I Am My Resume" 2003 15 30000
"I Am Sam" 2001 132 22000000
"I Am a Fugitive from a Chain Gang" 1932 93 195845
"I Capture the Castle" 2003 111 8000000
"I Come in Peace" 1990 91 7000000
"I Cover the War" 1937 68 70000
"I Died" 2004 108 15000
"I Dreamed of Africa" 2000 114 34000000
"I Got the Hook Up" 1998 93 3500000
"I Heart Huckabees" 2004 106 22000000
"I Inside, The" 2003 90 8800000
"I Know What You Did Last Summer" 1997 99 17000000
"I Love You Came Too Late" 2004 85 125000
"I Married a Monster from Outer Space" 1958 78 175000
"I Married a Strange Person!" 1997 74 250000
"I Never" 2003 22 40000
"I Spy" 2002 97 70000000
"I Still Know What You Did Last Summer" 1998 100 24000000
"I Take This Woman" 1940 98 700000
"I Walk the Line" 1970 95 4000000
"I Wanna Hold Your Hand" 1978 104 2700000
"I Was a Teenage Werewolf" 1957 76 82000
"I'll Be Seeing You" 1945 85 3250000
"I'll Bury You Tomorrow" 2002 119 980000
"I'll Do Anything" 1994 115 44000000
"I'll Remember April" 1999 90 1800000
"I'm No Angel" 1933 87 225000
"I'm with Lucy" 2002 90 15000000
"I, Robot" 2004 115 105000000
"Ice Age" 2002 81 60000000
"Ice Cream Man" 1995 84 2000000
"Ice Pirates, The" 1984 91 9000000
"Ice Storm, The" 1997 112 18000000
"Ideal Husband, An" 1999 97 14000000
"Identity" 2003 90 30000000
"Idle Hands" 1999 92 20000000
"Igby Goes Down" 2002 99 9000000
"Igry motylkov" 2004 105 1200000
"Imaginary Girls" 2004 30 8000
"Imaginary Heroes" 2004 112 10000000
"Imitation of Life" 1959 125 2000000
"Immoral Mr. Teas, The" 1959 63 24000
"Impatient Years, The" 1944 91 600000
"Importance of Being Earnest, The" 2002 97 15000000
"Impostor" 2002 102 40000000
"In & Out" 1997 92 35000000
"In Cold Blood" 1967 129 3500000
"In Crowd, The" 2000 104 15000000
"In Dreams" 1999 98 30000000
"In Old Amarillo" 1951 67 184686
"In Old Chicago" 1937 96 1800000
"In Person" 1935 87 493000
"In Plain Sight" 2004 86 50000
"In Their Absence" 2003 8 3500
"In This World" 2002 88 1900000
"In Too Deep" 1999 95 7000000
"In the Bedroom" 2001 130 1700000
"In the Company of Men" 1997 97 25000
"In the Cut" 2003 119 12000000
"In the French Style" 1963 105 750000
"In the Heat of the Night" 1967 109 2000000
"In the Land of Milk and Money" 2004 89 150000
"In the Line of Fire" 1993 138 40000000
"In the Mouth of Madness" 1994 95 14000000
"In the Shadows" 2001 105 10000000
"In the Woods" 1999 90 252000
"Inamorata" 2004 112 5000
"Inchon" 1981 140 46000000
"Incident at Loch Ness" 2004 94 1400000
"Incredible Shrinking Man, The" 1957 81 750000
"Incredibles, The" 2004 121 92000000
"Incredibly Strange Creatures Who Stopped Living and Became Mixed-Up Zombies!!?, The" 1964 82 38000
"Incredibly True Adventure of Two Girls in Love, The" 1995 94 250000
"Indecent Proposal" 1993 117 38000000
"Independence Day" 1996 153 75000000
"Indian in the Cupboard, The" 1995 96 45000000
"Indiana Jones and the Last Crusade" 1989 127 48000000
"Indiana Jones and the Temple of Doom" 1984 118 28000000
"Inferno" 1980 102 3000000
"Informer, The" 1935 91 243000
"Innocence Project, The" 2004 26 1000
"Innocent" 2001 16 25000
"Innsmouth Legacy" 2004 10 1000
"Inseminoid" 1981 93 2000000
"Inside" 2002 8 5000
"Inside Daisy Clover" 1965 128 4500000
"Insider, The" 1999 157 68000000
"Insight of Evil" 2003 80 120000
"Insomnia" 2002 118 46000000
"Insomniac's Nightmare, An" 2003 31 20000
"Inspector Gadget" 1999 78 75000000
"Inspiration" 1931 74 438000
"Instinct" 1999 126 55000000
"Insutooru" 2004 94 2000000
"Intended, The" 2002 110 3800000
"Interiors" 1978 93 10000000
"Intermezzo: A Love Story" 1939 70 800000
"Intermission" 2003 102 5000000
"Intermission" 2004 14 30000
"Interpreter, The" 2005 128 80000000
"Interruption, The" 2004 25 70000
"Interstate 60" 2002 116 7000000
"Interview with the Assassin" 2002 88 750000
"Interview with the Vampire: The Vampire Chronicles" 1994 123 50000000
"Intimations" 2004 20 39000
"Into the Sun" 2005 97 16000000
"Intolerable Cruelty" 2003 100 60000000
"Intolerance: Love's Struggle Through the Ages" 1916 197 385907
"Intruder" 1989 83 100000
"Intruder, The" 1962 84 80000
"Invaders from Mars" 1986 99 12000000
"Invasion U.S.A." 1985 107 10000000
"Invasion USA" 1952 73 127000
"Invasion of the Blood Farmers" 1972 84 40000
"Invasion of the Body Snatchers" 1956 80 417000
"Invasion of the Space Preachers" 1990 100 100000
"Invasions barbares, Les" 2003 112 5000000
"Invincible Kung Fu Guy, The" 1994 23 3000
"Invisible Agent" 1942 81 322000
"Invisible Stripes" 1939 81 500000
"Invitation to the Dance" 1956 93 1500000
"Invitation to the Wedding" 1985 90 8000000
"Irma la Douce" 1963 135 5000000
"Iron Giant, The" 1999 86 48000000
"Irrefutable Truth About Demons, The" 2000 90 500000
"Is It True What They Say About Ann?" 2004 40 5000
"Ish HaHashmal" 2003 90 900000
"Ishtar" 1987 107 40000000
"Island in the Sky" 1953 109 967000
"Island in the Sun" 1957 119 2250000
"Island of Dr. Moreau, The" 1977 99 6000000
"Island of Dr. Moreau, The" 1996 99 40000000
"Island, The" 1980 114 22000000
"Island, The" 2000 4 30000
"Isn't She Great" 2000 95 36000000
"Issues 101" 2002 90 75000
"It Came from Hollywood" 1982 80 5000000
"It Came from Outer Space" 1953 81 800000
"It Happened Here" 1966 97 20000
"It Happened One Night" 1934 105 325000
"It Happened on 5th Avenue" 1947 116 1700000
"It Started with Eve" 1941 90 1166000
"It's Always Fair Weather" 1955 102 2062256
"It's Hard" 2000 13 15000
"It's Impossible to Learn to Plow by Reading Books" 1988 85 3000
"It's a Mad Mad Mad Mad World" 1963 192 9400000
"It's a Wonderful Life" 1946 118 3180000
"Italian Job, The" 2003 111 60000000
"J-K Conspiracy, The" 2004 89 44000
"JFK" 1991 206 40000000
"Jabberwocky" 1977 105 500000
"Jack" 1996 113 45000000
"Jack Be Nimble" 1993 92 750000
"Jack Frost" 1998 101 50000000
"Jack and the Beanstalk" 1952 78 683000
"Jack of Diamonds" 2001 84 1500000
"Jackal, The" 1997 124 60000000
"Jackass: The Movie" 2002 87 5000000
"Jacket, The" 2005 102 19000000
"Jackie Brown" 1997 154 12000000
"Jackpot" 2001 97 400000
"Jacob's Ladder" 1990 115 25000000
"Jade" 1995 107 50000000
"Jade Mask, The" 1945 66 75000
"Jake's Booty Call" 2003 77 50000
"Jakob the Liar" 1999 120 15000000
"James Dean Story, The" 1957 81 35000
"James and the Giant Peach" 1996 79 38000000
"Jane Austen's Mafia!" 1998 83 10000000
"Japanese Story" 2003 105 5740000
"Jason Goes to Hell: The Final Friday" 1993 91 2500000
"Jason X" 2001 85 14000000
"Jason and the Argonauts" 1963 104 1000000
"Jason's Lyric" 1994 119 7000000
"Jaws" 1975 130 12000000
"Jaws 3-D" 1983 99 20500000
"Jaws: The Revenge" 1987 91 23000000
"Jay and Silent Bob Strike Back" 2001 104 22000000
"Jeepers Creepers" 2001 90 10000000
"Jeepers Creepers II" 2003 104 25000000
"Jefferson in Paris" 1995 139 14000000
"Jelly Pilgrim" 2004 4 60000
"Jennifer's Shadow" 2004 96 1000000
"Jerry Maguire" 1996 139 50000000
"Jerry and Tom" 1998 106 5000000
"Jersey Girl" 2004 102 35000000
"Jesse James" 1939 106 1600000
"Jesus" 1979 117 6000000
"Jesus' Son" 1999 107 2500000
"Jet Attack" 1958 68 100000
"Jezebel" 1938 104 1250000
"Jim the World's Greatest" 1976 94 100000
"Jimmy Hollywood" 1994 112 20000000
"Jimmy Neutron: Boy Genius" 2001 84 25000000
"Jimmy Show, The" 2001 99 1000000
"Jing Gai'er" 2004 108 700000
"Jing cha gu shi III: Chao ji jing cha" 1992 95 900000
"Jing wu men" 1972 107 100000
"Jingle All the Way" 1996 88 60000000
"Jisatsu saakuru" 2002 99 250000
"Jitterbugs" 1943 75 310600
"Jitters, The" 1989 95 475000
"Jizda" 1994 90 30000
"Joan the Woman" 1917 138 302976
"Joe" 1970 102 106000
"Joe Dirt" 2001 91 16000000
"Joe Somebody" 2001 98 38000000
"Joe's Apartment" 1996 80 13000000
"John Boorman Stole My Screenplay" 2004 3 2000
"John Goldfarb, Please Come Home" 1965 96 4000000
"John Johnson's Shadowhunters" 2004 92 2000
"John Q" 2002 116 36000000
"Johnny English" 2003 87 35000000
"Johnny Firecloud" 1975 94 200000
"Johnny Mnemonic" 1995 96 26000000
"Johnny Suede" 1991 97 500000
"Johnson Family Vacation" 2004 97 12000000
"Jonah: A VeggieTales Movie" 2002 82 15000000
"Jonathan Livingston Seagull" 1973 120 1500000
"Josh Jarman" 2004 96 1300000
"Josh and S.A.M." 1993 89 18000000
"Josie and the Pussycats" 2001 98 22000000
"Journey of Jared Price, The" 2000 96 30000
"Journey to the Seventh Planet" 1962 83 74600
"Joy" 1983 102 2000000
"Joy Ride" 2001 97 23000000
"Judge Dredd" 1995 96 90000000
"Judgment" 2001 105 11000000
"Judgment at Nuremberg" 1961 186 3000000
"Judith of Bethulia" 1914 61 36000
"Jui kuen II" 1994 99 2000000
"Julie Walking Home" 2002 118 5000000
"Jumanji" 1995 104 65000000
"Junebug and Hurricane" 2004 9 26000
"Jung (War) in the Land of the Mujaheddin" 2001 114 275000
"Jungle Book 2, The" 2003 72 20000000
"Jungle Book, The" 1994 111 27000000
"Jungle Fever" 1991 132 14000000
"Jungle Princess, The" 1936 85 300000
"Junior" 1985 80 350000
"Jurassic Park" 1993 127 63000000
"Jurassic Park III" 2001 92 93000000
"Jurk, De" 1996 95 2650000
"Juror, The" 1996 118 44000000
"Just Add Pepper" 2002 90 75000
"Just Imagine" 1930 109 250000
"Just Looking" 1999 97 3000000
"Just Visiting" 2001 93 40000000
"Just the Ticket" 1999 115 12000000
"Juwanna Mann" 2002 91 15600000
"K-19: The Widowmaker" 2002 140 100000000
"K-PAX" 2001 120 48000000
"Kafka" 1991 92 11000000
"Kagemusha" 1980 162 6000000
"Kalifornia" 1993 118 9000000
"Kama Sutra: A Tale of Love" 1996 114 3000000
"Kangaroo Jack" 2003 89 60000000
"Kansas City" 1996 116 19000000
"Karakter" 1997 122 4500000
"Kate & Leopold" 2001 123 48000000
"Kayitz Shel Aviya, Ha-" 1988 95 350000
"Kaze, Ghost Warrior" 2004 23 5000
"Keane" 2004 100 850000
"Keep, The" 1983 96 6000000
"Keeper of the Past" 2005 18 30000
"Keeper, The" 2004 95 4000000
"Keeping the Faith" 2000 128 30000000
"Kejar Amerika" 2004 86 100000
"Kentucky Fried Movie, The" 1977 90 600000
"Key West: City of Colors" 2004 64 90000
"Keyhole, The" 1933 69 169000
"Keys of the Kingdom, The" 1944 137 3000000
"Khwaab" 2004 86 75000
"Kicked in the Head" 1997 87 4000000
"Kid from Borneo, The" 1933 18 21500
"Kid, The" 1921 54 250000
"Kid, The" 2000 104 65000000
"Kids" 1995 91 1500000
"Kids Are Alright, The" 1979 101 2000000
"Kiki" 1931 87 810568
"Kill Bill: Vol. 1" 2003 111 55000000
"Kill Bill: Vol. 2" 2004 136 30000000
"Kill Me Again" 1989 94 4000000
"Kill the Scream Queen" 2004 74 5000
"Killer Bean 2: The Party" 2000 7 2800
"Killer Eye, The" 1999 72 400000
"Killer Klowns from Outer Space" 1988 88 2000000
"Killer Shrews, The" 1959 69 123000
"Killer of Sheep" 1977 83 100000
"Killer's Kiss" 1955 67 75000
"Killers" 1996 90 100000
"Killers" 1997 86 100000
"Killing Box, The" 1993 80 1200000
"Killing Kevin" 2004 22 20000
"Killing Me Softly" 2002 104 25000000
"Killing Spree" 1987 90 75000
"Killing Zoe" 1994 99 1500000
"Killing, The" 1956 85 320000
"Kimberly" 1999 106 2000000
"King & Country" 1964 89 300000
"King Arthur" 2004 140 90000000
"King Kong" 1933 100 670000
"King Kong" 1976 134 24000000
"King Richard and the Crusaders" 1954 114 3000000
"King Solomon's Mines" 1985 100 12500000
"King of Comedy, The" 1983 109 20000000
"King of Jazz, The" 1930 105 2000000
"King of Kings, The" 1927 155 2500000
"King of the Hill" 1972 18 45000
"King of the Hill" 1993 109 8000000
"King of the Mountain" 1981 90 2000000
"Kingdom of Heaven" 2005 145 130000000
"Kingdom of the Spiders" 1977 97 500000
"Kingdom of the Vampire" 1991 70 2500
"Kingpin" 1996 117 25000000
"Kinky Coaches and the Pom Pom Pussycats, The" 1981 91 2500000
"Kinsey" 2004 118 11000000
"Kismet" 1944 100 3000000
"Kismet" 1955 113 2692960
"Kiss & Tell" 1996 96 1000000
"Kiss Me, Stupid" 1964 125 3500000
"Kiss of the Dragon" 2001 98 25000000
"Kiss of the Tarantula" 1976 85 200000
"Kiss on the Nose, A" 2004 13 25000
"Kiss or Kill" 1997 96 2000000
"Kiss the Blood Off My Hands" 1948 79 1100000
"Kiss the Girls" 1997 111 27000000
"Kiss the Sky" 1999 107 6000000
"Kiss, The" 1929 89 257000
"Kiss, The" 2004 25 6000
"Kissin' Cousins" 1964 96 800000
"Kissing Jessica Stein" 2001 97 1000000
"Klansman, The" 1974 112 5000000
"Knack, The" 1965 84 364000
"Knight's Tale, A" 2001 132 41000000
